Date,OPEN,HIGH,LOW,LAST_PRICE,VOLUME
10/22/2014 9:30,194.41,194.48,194.2,194.2,4024635
10/22/2014 9:35,194.2,194.22,193.95,193.96,3000230
10/22/2014 9:40,193.96,194.29,193.92,194.25,2118672
10/22/2014 9:45,194.26,194.38,194.12,194.25,1781018
10/22/2014 9:50,194.26,194.72,194.26,194.61,2506090
10/22/2014 9:55,194.61,194.68,194.52,194.67,1272566
10/22/2014 10:00,194.67,194.673,194.42,194.47,2061546
10/22/2014 10:05,194.471,194.54,194.17,194.21,1603793
10/22/2014 10:10,194.21,194.36,194.14,194.199,1533248
10/22/2014 10:15,194.2,194.32,194.055,194.3132,1662764
10/22/2014 10:20,194.32,194.53,194.26,194.43,1469737
10/22/2014 10:25,194.429,194.6,194.35,194.48,899614
10/22/2014 10:30,194.48,194.65,194.23,194.61,1848635
10/22/2014 10:35,194.61,194.62,194.32,194.44,1285941
10/22/2014 10:40,194.435,194.4768,194.2,194.32,968088
10/22/2014 10:45,194.315,194.48,194.23,194.37,1193706
10/22/2014 10:50,194.38,194.57,194.359,194.53,952267
10/22/2014 10:55,194.53,194.55,194.35,194.39,628180
10/22/2014 11:00,194.39,194.63,194.38,194.46,866032
10/22/2014 11:05,194.47,194.545,194.36,194.52,917546
10/22/2014 11:10,194.52,194.83,194.49,194.761,1885542
10/22/2014 11:15,194.782,194.86,194.71,194.73,1430590
10/22/2014 11:20,194.74,194.88,194.73,194.79,1148224
10/22/2014 11:25,194.79,194.81,194.63,194.69,1354364
10/22/2014 11:30,194.695,194.83,194.59,194.8,1144948
10/22/2014 11:35,194.79,194.91,194.77,194.7845,1316163
10/22/2014 11:40,194.79,194.83,194.74,194.77,555543
10/22/2014 11:45,194.77,194.88,194.68,194.72,543344
10/22/2014 11:50,194.72,194.77,194.55,194.59,1076553
10/22/2014 11:55,194.59,194.69,194.58,194.611,711328
10/22/2014 12:00,194.61,194.7,194.6,194.651,558534
10/22/2014 12:05,194.66,194.66,194.46,194.55,1266918
10/22/2014 12:10,194.55,194.6,194.35,194.37,657657
